entry,aozora_frequency,candidate_readings,sources,evidence_count,final_status,action,reason,resolved_reading,old_uuid,new_uuid,source_path,source_row,target_path
〇横尾岩小屋,4,,,0,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,eb893c8f-bea3-540a-a561-845cfe625319,,/Users/iktahana/Genji/pending/needs_reading/U+3000-U+30FF/〇横尾岩小屋.json,1,
仮粧,7,かそう|けしょう|けそう|けわい,aozora_ruby|jmdict,4,ambiguous,conflict,jmdict has multiple applicable full-entry readings,,1947da0b-0482-5e68-9ed3-899547aef8d1,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/カリ粧.json,1,
両凾,1,,,0,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,4733e6fb-e7d7-5c5b-aebd-cae699fe4fc8,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/リョウ凾.json,1,
両契,11,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,e5282ef1-d7ae-5ed2-b0c7-37f549161d88,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/リョウ契.json,1,
両拆,1,,,0,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,c36437e6-749e-50c4-ae59-cf7a92fb148b,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/リョウ拆.json,1,
両朶,1,,,0,unmatched,keep_pending,no accepted complete-entry evidence,,b62626ae-25f0-5944-9eb8-df806b384542,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/リョウ朶.json,1,
両缸,1,,,0,unmatched,keep_pending,no accepted complete-entry evidence,,47bcbbdd-5fb0-5ce2-9e28-e7c6eb3607af,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/リョウ缸.json,1,
両聯,1,,,0,unmatched,keep_pending,no accepted complete-entry evidence,,4a774bc0-9fd2-512c-a86c-454d38286286,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/リョウ聯.json,1,
両陛,2,,,0,suspected_fragment,conflict,occurrences map to different formal headwords,,f3ea9437-c7f9-546d-a6bc-11c0915ab992,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/リョウ陛.json,1,
丗,6,さんじゅう|みそ,jmdict,2,ambiguous,conflict,jmdict has multiple applicable full-entry readings,,a0856cf3-241e-556e-a4b5-c4a67864c2fa,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/丗.json,1,
